Date,Open,High,Low,Close,Volume
30-Jul-13,107.06,107.33,106.32,106.52,304379
29-Jul-13,105.51,105.58,105.07,105.34,240411
26-Jul-13,106.54,106.77,105.25,106.59,760046
25-Jul-13,103.00,104.43,102.77,104.13,1500104
24-Jul-13,111.34,111.34,109.85,110.18,449579
23-Jul-13,110.37,110.67,109.86,110.03,218818
22-Jul-13,110.07,110.50,109.96,110.10,289903
19-Jul-13,108.08,109.70,107.95,109.32,887165
18-Jul-13,106.91,108.24,106.85,107.90,661686
17-Jul-13,109.76,109.81,108.95,109.38,313424
16-Jul-13,107.97,108.71,107.70,108.53,291675
15-Jul-13,107.76,107.82,107.02,107.75,392935
